lang	period	average_segment_length	average_doc_length
als_Latn	2011_2015	68.96996484545949	1434.154552
als_Latn	2024_2025	60.640663502358116	874.732293
als_Latn	2020_2021	65.7520787862292	903.250969
arb_Arab	2011_2015	72.53572285608453	1231.143674
arb_Arab	2020_2021	76.74049275033825	1096.963904
arb_Arab	2024_2025	62.0760498320505	1066.45828
bos_Latn	2011_2015	50.8757614806898	1223.187211
bos_Latn	2020_2021	61.71420108166075	998.588786
bos_Latn	2024_2025	60.53153697630794	954.089793
bul_Cyrl	2011_2015	51.99396318354197	1282.82662
bul_Cyrl	2020_2021	58.116963721608066	1405.64542
bul_Cyrl	2024_2025	56.645734149731176	1085.282588
cat_Latn	2024_2025	68.11021050834294	1088.218901
cat_Latn	2020_2021	68.62399461831744	1047.859164
cat_Latn	2011_2015	59.47216827354377	1396.536993
ces_Latn	2024_2025	55.185701218469205	1169.527112
ces_Latn	2020_2021	56.871880414731585	1336.726118
ces_Latn	2011_2015	47.15091518260867	1235.939545
cmn_Hans	2020_2021	48.059657231387746	1066.113528
cmn_Hans	2024_2025	41.74467126440256	1115.851886
cmn_Hans	2011_2015	40.349503495123145	1303.958805
dan_Latn	2011_2015	46.94650144800522	1096.851769
dan_Latn	2020_2021	55.98993813116085	1563.548585
dan_Latn	2024_2025	56.88165813594568	1335.983657
deu_Latn	2011_2015	49.33050897120286	1308.983033
deu_Latn	2020_2021	60.859168110431526	1360.069856
deu_Latn	2024_2025	55.32765607001381	1291.50999
ekk_Latn	2011_2015	31.4014704383733	2251.89478
ekk_Latn	2024_2025	50.70126559958547	1031.1197
ekk_Latn	2020_2021	51.28834090699819	1658.186476
ell_Grek	2020_2021	59.997450006689	1122.990511
ell_Grek	2024_2025	61.2651056759735	1038.488326
ell_Grek	2011_2015	48.5388195883891	1366.124058
eng_Latn	2024_2025	58.97696651973826	1661.726457
eng_Latn	2011_2015	57.08031293360025	1927.002482
eng_Latn	2020_2021	69.16366946957899	1830.447567
fin_Latn	2011_2015	43.167487078341956	1146.37232
fin_Latn	2020_2021	52.17976343104674	1628.420787
fin_Latn	2024_2025	45.2592075600707	1004.543862
fra_Latn	2011_2015	47.41916107117178	1351.559612
fra_Latn	2024_2025	58.01628504729493	1386.768657
fra_Latn	2020_2021	57.68601621911729	1574.302204
heb_Hebr	2024_2025	53.30974830190183	1208.276587
heb_Hebr	2011_2015	47.458648822455466	1380.472526
heb_Hebr	2020_2021	54.46457745108835	1292.847134
hrv_Latn	2024_2025	58.76056348389379	1126.253731
hrv_Latn	2020_2021	57.183377897265814	1425.202428
hrv_Latn	2011_2015	50.97413087207497	1306.849739
hun_Latn	2024_2025	57.089395685572946	1160.237037
hun_Latn	2011_2015	44.28978963366848	1257.429203
hun_Latn	2020_2021	60.50967624166255	1392.228717
hye_Armn	2011_2015	55.62634745207319	870.175636
hye_Armn	2020_2021	52.50903756349922	964.059156
hye_Armn	2024_2025	54.656575061263446	862.93823
ind_Latn	2011_2015	54.772687132565444	1346.54872
ind_Latn	2020_2021	59.83144604783467	1065.596319
ind_Latn	2024_2025	57.89941192905447	1118.02288
ita_Latn	2011_2015	47.958760995192776	1420.728849
ita_Latn	2024_2025	64.77478172945301	1173.292503
ita_Latn	2020_2021	67.76543533283537	1354.482646
jpn_Jpan	2011_2015	18.79821955113708	1726.856895
jpn_Jpan	2024_2025	23.032707675813924	1159.826068
jpn_Jpan	2020_2021	26.13812542133983	1236.604803
kat_Geor	2020_2021	51.32302490021529	871.789273
kat_Geor	2011_2015	48.34520343491206	1098.859014
kat_Geor	2024_2025	46.80749126015665	783.396854
kor_Hang	2011_2015	48.90587651945365	1806.329844
kor_Hang	2024_2025	51.41696021980771	1550.520186
kor_Hang	2020_2021	51.53363258109458	1562.099272
lit_Latn	2020_2021	54.09399071828607	1568.412743
lit_Latn	2024_2025	53.586444482545836	1060.125924
lit_Latn	2011_2015	45.442766469791806	1138.984088
lvs_Latn	2020_2021	51.66294404258793	1558.848174
lvs_Latn	2011_2015	46.22747942230477	1124.23085
lvs_Latn	2024_2025	54.61605930561336	1103.526763
mkd_Cyrl	2011_2015	62.580542211855416	875.499032
mkd_Cyrl	2020_2021	63.746529859157285	878.081994
mkd_Cyrl	2024_2025	58.453299045314274	898.438254
nld_Latn	2024_2025	54.67942718497348	1132.960848
nld_Latn	2020_2021	59.18843749835257	1190.10795
nld_Latn	2011_2015	42.63663633105501	1151.824211
nob_Latn	2020_2021	66.23001206520804	1740.833945
nob_Latn	2024_2025	73.02625642899697	1645.803476
nob_Latn	2011_2015	48.32734982271456	1204.112263
pol_Latn	2024_2025	57.76622081217307	1166.71863
pol_Latn	2020_2021	59.89550841016509	1213.7469
pol_Latn	2011_2015	48.684951103296015	1386.350136
por_Latn	2020_2021	60.96792894276911	1316.937993
por_Latn	2011_2015	61.04761377950839	1704.008674
por_Latn	2024_2025	58.41427831917133	1248.160608
ron_Latn	2011_2015	50.7984990792638	1483.150824
ron_Latn	2020_2021	64.1117573135028	1389.975852
ron_Latn	2024_2025	63.325302129069335	1253.913173
rus_Cyrl	2011_2015	55.66270240568809	1755.955593
rus_Cyrl	2024_2025	57.39795131119835	1676.773469
rus_Cyrl	2020_2021	57.0993485638018	1900.766225
slk_Latn	2011_2015	47.125471513794515	1100.844794
slk_Latn	2020_2021	57.01671156052497	1167.668955
slk_Latn	2024_2025	52.978876246080965	1003.753736
slv_Latn	2020_2021	57.14649392342948	1594.487644
slv_Latn	2011_2015	54.56258404295829	1278.400362
slv_Latn	2024_2025	58.28880615787923	1056.602355
spa_Latn	2024_2025	66.19255810589992	1358.356085
spa_Latn	2011_2015	55.6692100864564	1424.981193
spa_Latn	2020_2021	66.24862760766622	1425.953679
swe_Latn	2024_2025	52.91983362029082	1338.06815
swe_Latn	2020_2021	61.38101185866152	1529.915828
swe_Latn	2011_2015	44.12154383262853	1252.681268
tam_Taml	2011_2015	46.06591311783235	1178.110576
tam_Taml	2024_2025	50.70074705083744	663.09621
tam_Taml	2020_2021	48.5531220119807	770.976918
tha_Thai	2020_2021	65.94306224653738	996.104971
tha_Thai	2024_2025	39.65047331923201	642.352616
tha_Thai	2011_2015	37.98714384555566	745.095756
tur_Latn	2011_2015	40.22543943029135	1046.07997
tur_Latn	2020_2021	56.7102948027771	1005.205514
tur_Latn	2024_2025	58.95827950523586	1135.422379
ukr_Cyrl	2024_2025	48.482749024014524	901.35292
ukr_Cyrl	2011_2015	64.39138848147954	1715.773517
ukr_Cyrl	2020_2021	56.022463422099236	1118.916886
vie_Latn	2020_2021	65.74586355174314	1405.078124
vie_Latn	2011_2015	50.39766494555116	1569.728712
vie_Latn	2024_2025	63.57440456445559	1627.141747
